,n_cells
ENSG00000269288,1049
ENSG00000269289,23309
ENSG00000269292,63707
ZSCAN16-AS1,1352847
ENSG00000269296,1899
ENSG00000269300,1270
GRAMD1A-AS1,4840
FKBP1AP1,6987
ENSG00000269307,3745
MAGIX,41429
ENSG00000269318,103083
ENSG00000269321,2542
GOLGA2P9,295
IKBKG,295201
ZNF587B,729443
ENSG00000269350,427
PTOV1-AS2,193420
ENSG00000269353,1345
ENSG00000269365,18713
ENSG00000269373,2929
ENSG00000269374,22780
RAB11B-AS1,248107
ENSG00000269387,1735
ENSG00000269388,84490
ENSG00000269392,7788
ENSG00000269399,30853
ENSG00000269403,31832
SPIB,192571
NXF2,9101
LINC01224,1836
PLA2G4C-AS1,6000
ENSG00000269425,4074
ENSG00000269427,77641
BNIP3P8,1058
NXF2B,560
PGLS-DT,797787
ENSG00000269460,813646
ENSG00000269469,32542
ZNF132-DT,11891
ENSG00000269476,116742
ENSG00000269480,1949
ENSG00000269481,239816
ENSG00000269482,37086
ENSG00000269487,8158
ENSG00000269489,2106
ENSG00000269495,1602
DMRTC1,12958
ENSG00000269504,4175
ZNF92P2,372
ENSG00000269514,857949
CYP4F23P,1401
ENSG00000269533,1169
ENSG00000269534,55645
ENSG00000269535,74866
CLIC4P2,330
ENSG00000269547,3846
TMEM185A,866377
ENSG00000269559,3275
ENSG00000269570,3674
ENSG00000269583,669
CT45A10,272
ENSG00000269588,880
ENSG00000269590,6295
ENSG00000269604,30852
C10orf95-AS1,662612
ENSG00000269621,4329
ENSG00000269635,3570
ZNF888-AS1,3281
ENSG00000269651,799
ENSG00000269652,1142
NOP53-AS1,27855
BNIP3P39,223
ENSG00000269667,4753
ENSG00000269680,34121
ENSG00000269693,154012
ENSG00000269694,1031
ZNF470-DT,298172
ZIM2,3874
ENSG00000269707,3695
ENSG00000269711,1325
NBPF9,683997
CCDC194,491877
ENSG00000269729,2933
ENSG00000269737,17656
SLC25A53,2304823
ENSG00000269749,510909
ENSG00000269755,180435
ENSG00000269758,1275
EXOSC3P2,498
ENSG00000269765,4910
ENSG00000269779,1489
ENSG00000269792,526
ZIM2-AS1,94384
ENSG00000269794,616
ENSG00000269796,634
PLEKHA3P1,49381
ENSG00000269802,123263
BICRA-AS1,84547
ENSG00000269807,55882
ENSG00000269813,3266
KCNQ1OT1,1190482
ENSG00000269825,441121
ZNF528-AS1,233517
ENSG00000269836,19585
ENSG00000269839,3692
ENSG00000269843,8504
CCNYL6,3507
ENSG00000269846,672
RNF225,1011
EGLN2,1204451
ZNF628-DT,825
ENSG00000269873,10399
ENSG00000269886,7885
ENSG00000269889,2898
ARHGAP19-SLIT1,151689
ENSG00000269892,5191
SNHG8,773957
COMMD3-BMI1,17553
ENSG00000269898,1258
ENSG00000269901,8413
ENSG00000269902,3648
ENSG00000269903,1960
MAP2K4P1,160480
PTMAP11,3688
ENSG00000269910,3493
ENSG00000269915,11678
ENSG00000269921,18135
ENSG00000269927,7279
MIRLET7A1HG,1941969
ENSG00000269934,100465
ENSG00000269937,8166
PCF11-AS1,142152
ENSG00000269945,532
ENSG00000269947,16020
ENSG00000269949,22965
ENSG00000269950,557
ENSG00000269954,15456
MKNK1-AS1,82909
ENSG00000269957,1467
SPACA6-AS1,3950
ERBIN-DT,8747
MEI4,64504
ENSG00000269966,2607
ENSG00000269967,392763
ENSG00000269968,49811
ENSG00000269972,3267
ENSG00000269973,273391
ENSG00000269980,908
ENSG00000269981,2549
ENSG00000269982,50444
ENSG00000269984,17683
FARS2-AS1,22719
ENSG00000269987,38356
LINC02893,1836
ENSG00000270000,11259
C16orf95-DT,11849
ENSG00000270008,102279
ZNF559-ZNF177,199876
ENSG00000270016,3005
ENSG00000270019,301622
ENSG00000270020,11489
ENSG00000270021,11073
ENSG00000270022,11694
BMS1P7,46236
ENSG00000270035,210
ENSG00000270036,250
ENSG00000270038,2094
ATP6V0D1-DT,1975309
ENSG00000270050,73258
ENSG00000270052,1037
ENSG00000270055,200352
ENSG00000270066,558667
MIR222HG,574011
ENSG00000270071,1691
ENSG00000270074,813
ENSG00000270075,11117
ENSG00000270076,7166
ENSG00000270082,316
GAS5-AS1,24479
ENSG00000270087,48202
ENSG00000270090,632
ENSG00000270091,58099
ENSG00000270094,6971
ENSG00000270096,30363
LDHAL6EP,297
ENSG00000270099,622989
ENSG00000270100,62070
ENSG00000270103,2538
ENSG00000270104,1428
TSNAX-DISC1,541663
ENSG00000270110,11667
CELF2-DT,9168
ST8SIA5-DT,32422
ENSG00000270114,646
ENSG00000270117,11309
VTRNA2-1,1486
ENSG00000270124,4586
ENSG00000270127,476013
ENSG00000270135,26042
TERC,27625
ENSG00000270147,1586
ENSG00000270149,562083
ENSG00000270154,4270
ENSG00000270159,352
LINC01480,58235
ENSG00000270166,748
NCBP2AS2,164317
ENSG00000270171,330
ENSG00000270174,113995
ENSG00000270175,19741
PPP2CA-DT,12801
BIVM-ERCC5,25619
ENSG00000270184,4958
ENSG00000270190,2147
GOLGA4-AS1,11569
ENSG00000270202,809
ENSG00000270207,72667
ENSG00000270210,4948
ENSG00000270218,539
ENSG00000270228,6600
MTND6P22,313
NBPF8,1048573
ENSG00000270236,277
ENSG00000270240,171766
ENSG00000270248,1500
ENSG00000270249,36229
ENSG00000270257,920
DUXAP4,273
ENSG00000270259,19877
NDUFB8P2,2378
ENSG00000270265,18086
CORO1CP1,1136
BNIP3P10,352
ENSG00000270273,377
H4C15,21381
ENSG00000270277,55446
SMIM15P1,277
ENSG00000270281,9442
ENSG00000270287,365
XIAPP1,4418
STX8P1,255
ENSG00000270299,271705
PHACTR2P1,38283
ENSG00000270302,23644
ENSG00000270304,202
MTATP6P2,373
ENSG00000270314,708
BORCS7-ASMT,490255
ENSG00000270321,292
ENSG00000270324,291
BNIP3P9,222
SMIM15P2,390
SMC2-DT,7612
ENSG00000270335,664
PPIAL4H,5907
UNGP3,1289
POC1B-AS1,1016681
ENSG00000270361,2870
HMGN3-AS1,78775
HEATR9,234679
ENSG00000270387,1265
SFXN4P1,1963
PFN1P2,5189
ENSG00000270393,970
ENSG00000270402,7734
ENSG00000270409,3625
CAHM,58631
ENSG00000270421,337
ENSG00000270424,499
NRBF2P5,2967
KNOP1P2,9671
H3P37,6324
ENSG00000270434,575
LAMB2P1,364333
ENSG00000270442,4909
ENSG00000270462,376
IGHV3-29,2864
ENSG00000270482,5585
ENSG00000270487,271
ENSG00000270490,357
ENSG00000270491,288
ENSG00000270492,1025
MKI67P1,521
YTHDF2P1,7818
ENSG00000270504,13391
ENSG00000270510,234
ENSG00000270512,584
ENSG00000270521,1161
FAM133EP,9597
ENSG00000270531,549
PEBP1P2,1453
ENSG00000270533,63695
ENSG00000270538,337
ENSG00000270542,4732
LINC01235,4538
IGHV3-30,45389
ENSG00000270553,766
ENSG00000270554,1591
ENSG00000270555,371
ENSG00000270558,45894
ENSG00000270569,11780
ENSG00000270571,357154
ENSG00000270574,106613
ENSG00000270575,1154
ENSG00000270577,1356
ENSG00000270578,22263
PKD1P6-NPIPP1,14987
SNX2P1,811
FAM136DP,727
ENSG00000270589,206779
ENSG00000270591,2926
HCG17,1255254
ENSG00000270605,85166
NAV2-AS6,692
ENSG00000270614,444
URGCP-MRPS24,24684
ENSG00000270619,703
SPCS2P2,1205
ENSG00000270624,213
ENSG00000270627,248
NBPF14,1630733
ENSG00000270638,32923
TSIX,280642
TAF15,6671447
DPRXP5,1282
ENSG00000270659,28781
ENSG00000270664,754
HNRNPA1P67,3187
MARK2P16,766
YTHDF3-DT,7196
ENSG00000270679,2493
ENSG00000270681,11944
BUD13P1,30544
ENSG00000270690,9297
ENSG00000270691,977
ENSG00000270698,328
ENSG00000270702,611
PRMT1P1,1237
ENSG00000270708,212
ENSG00000270711,579
ENSG00000270712,355
MICOS10P2,3054
BNIP3P15,259
ENSG00000270720,2046
RNVU1-31,2618
ENSG00000270725,6229
ENSG00000270726,9328
ENSG00000270728,2656
ENSG00000270733,496
ENSG00000270739,16724
FBXW7-AS1,208
ENSG00000270755,5760
HSPE1-MOB4,69466
ENSG00000270760,17953
CD2AP-DT,6510
ENSG00000270764,842
GAS2L2,3971
PDHA1P1,955
EEF1A1P18,3082
ENSG00000270781,10276
ENSG00000270782,883
PDLIM1P1,353
DPRXP6,442
ENSG00000270792,295058
ENSG00000270798,2749
ENSG00000270799,358
RPS10-NUDT3,220034
ENSG00000270802,2163
UBE2CP5,157587
C17orf50,3355
ENSG00000270808,3172
ENSG00000270812,341
NANOGNBP3,14792
LINC00221,26367
USP34-DT,574460
ENSG00000270823,29078
ENSG00000270829,516
ENSG00000270832,1524
ENSG00000270839,307
ENSG00000270842,595
MYG1P1,974
ENSG00000270857,2363
VDAC1P5,313
ENSG00000270861,272
DDX55P1,19038
ENSG00000270866,206
ENSG00000270871,294355
SRGAP2D,538446
RPAP2P1,2275
ZNF30-AS1,18488
GCATP1,30448
ENSG00000270880,5500
H4C14,20186
ENSG00000270883,16989
RASL10B,28707
ENSG00000270890,1693
ENSG00000270893,1015
NUDT19P4,437
HNRNPA3P9,1977
MTND4P35,3043
ENSG00000270911,2495
ENSG00000270917,3283
ENSG00000270919,238
TAS2R6P,21973
ENSG00000270926,238
ENSG00000270933,3459
ENSG00000270941,364
HSPE1P7,4704
MTDHP1,1174
ENSG00000270951,2072
ENSG00000270953,10128
ENSG00000270955,1318
ENSG00000270956,23787
LPP-AS2,48337
ENSG00000270962,536
MAP2K5-DT,21600
ENSG00000270972,8311
MAGOH3P,1528
ENSG00000270977,25963
ENSG00000270978,5253
ENSG00000270981,273
ENSG00000270983,2340
HMGB1P51,18977
ENSG00000270987,2767
ENSG00000270990,49855
ENSG00000270992,693
ENSG00000270996,283
ENSG00000271002,465
CTHRC1P1,446
ENSG00000271009,48889
ENSG00000271010,1510
ENSG00000271011,94878
LRRC37A9P,5416
ENSG00000271018,1157
ENSG00000271022,20613
KATNBL1P1,852
ENSG00000271029,733
ENSG00000271032,37465
ENSG00000271034,7378
TMEM242-DT,437
NDUFB9P1,2202
ENSG00000271046,998
MRPS22P1,8609
SNRPGP17,1460
ENSG00000271064,257
SLC4A8-AS1,2362
ENSG00000271075,3430
ENSG00000271078,996
CTAGE15,1411
HIKESHIP3,587
NAMA,4274
TLCD4-RWDD3,9767
BNIP3P28,433
IMMP1LP3,5442
ENSG00000271099,207
SCML2P2,13129
LINC03049,718113
ENSG00000271113,205
ENSG00000271119,17023
NUDT4P2,1822
HERPUD2-AS1,150447
ENSG00000271128,1746
ENSG00000271129,2899
PPIAP75,280
ITGB8-AS1,17300
ENSG00000271137,491
ENSG00000271141,38572
YWHAQP7,826
ENSG00000271146,1979
ARMCX5-GPRASP2,1740485
ENSG00000271151,12139
ENSG00000271155,10615
BOLA2P2,2903
LINC00904,748
ENSG00000271182,833
ENSG00000271185,3345
VDAC3P1,206
ENSG00000271199,1591
PATJ-DT,13268
ENSG00000271201,1388
ENSG00000271204,2515980
MTCO1P22,6597
RPL21P136,16537
LINC01050,17314
ENSG00000271218,1495
ENSG00000271222,431
BNIP3P4,200
SREK1IP1P2,14677
ENSG00000271228,2757
ENSG00000271230,231
RRBP1P2,260
HMGB1P50,1064
ENSG00000271254,267574
ENSG00000271257,6484
ENSG00000271259,2340
ENSG00000271265,828
ENSG00000271267,285
TMCC1-DT,141131
ELOCP33,4037
ENSG00000271283,1126
CYTH1P1,5115
SRXN1,17118
ENSG00000271314,233
CTAGE6,38180
ENSG00000271327,21105
ENSG00000271329,782
CCNY-AS1,1267798
ENSG00000271343,277
ENSG00000271344,6503
USP6NL-AS1,722
HTATSF1P2,113609
ENSG00000271366,3572
ENSG00000271367,239
ENSG00000271370,1193
IFITM3P8,264
ENSG00000271379,2146
ENSG00000271380,13666
ENSG00000271382,8375
NBPF19,2061965
C1orf21-DT,1626
ENSG00000271390,287
7SK-1,27461
LINC02336,29534
ENSG00000271396,5647
ENSG00000271401,6251
MZT1P2,579
ENSG00000271410,606
PRR13P3,584
ENSG00000271414,5597
ENSG00000271418,1125
ENSG00000271420,3196
GLRX5P3,687
NBPF10,865678
ENSG00000271426,756
ENSG00000271427,14830
MPHOSPH6P1,1672
ENSG00000271437,4145
ENSG00000271443,563
MMP28,195315
CKAP2LP1,11842
UNC5C-AS1,2177
ABI1P1,773
ENSG00000271495,218
ENSG00000271500,8353
CCL5,1816902
ENSG00000271507,269
ENSG00000271509,1418
ENSG00000271519,1194
ENSG00000271522,1535
BNIP3P17,208
ARF4P1,599
ENSG00000271533,1220491
ENSG00000271536,1048
LINC02427,249996
BNIP3P11,100756
ENSG00000271551,38893
ENSG00000271553,37435
ENSG00000271554,357700
ENSG00000271555,1326
YPEL5P2,488
LINC02333,222
ENSG00000271568,3710
PRKACB-DT,13742
ENSG00000271580,326
ENSG00000271581,80388
ENSG00000271582,87490
LINC02550,39134
ENSG00000271590,20059
ENSG00000271596,12649
LIX1L,1548239
MILR1,1266587
ENSG00000271607,6860
HSPE1P14,670
ATP2B1-AS1,121100
ACTG1P22,8528
ENSG00000271621,627
ENSG00000271623,333
PSMA6P4,823
H3P42,243
ENSG00000271631,8594
PPFIA1P1,624
PDCD6IP-DT,57613
IRF2-DT,57403
ENSG00000271653,288
ENSG00000271654,531
ENSG00000271657,16123
ENSG00000271659,3324
ENSG00000271662,584
ENSG00000271664,3676
ENSG00000271670,9547
ENSG00000271676,1235
ENSG00000271680,3305
MTND5P10,505
ENSG00000271698,1649
ATP1B3P1,1537
NDUFA8P1,303
ENSG00000271711,1250
FAM169A-AS1,1184
ENSG00000271716,17051
ENSG00000271717,474793
MROH7-TTC4,7398
ENSG00000271725,64000
ENSG00000271727,515428
ENSG00000271730,6549
ENSG00000271732,824
LINC02772,862
ENSG00000271737,20174
ENSG00000271741,55073
ENSG00000271742,367
ENSG00000271743,998
ENSG00000271746,45713
ENSG00000271751,6212
ENSG00000271752,11137
ENSG00000271754,15100
ENSG00000271755,1643
ENSG00000271758,3788
ENSG00000271761,5264
ENSG00000271763,2747
ENSG00000271771,6193
ENSG00000271774,942928
ENSG00000271780,50822
ENSG00000271781,11497
TP53RK-DT,3285
ENSG00000271787,409
ENSG00000271788,13172
ENSG00000271792,568
ENSG00000271793,3060020
ENSG00000271795,85793
ENSG00000271797,6503
ENSG00000271803,253
ENSG00000271806,5744
ENSG00000271810,2515
BMS1P4-1,1020028
ENSG00000271820,2944
ENSG00000271821,5791
ENSG00000271825,5360
PLS3-AS1,3354
ENSG00000271828,12291
RNU7-10P,439
ENSG00000271843,4345
SYNPO2L-AS1,49494
MAN2A1-DT,2596
LINC02343,36520
ENSG00000271853,69561
ENSG00000271855,11730
LINC01215,1145999
ENSG00000271857,29233
ENSG00000271858,33225
ENSG00000271860,114073
ENSG00000271862,75793
ENSG00000271868,1798
DCTN6-DT,258739
ENSG00000271871,14797
ENSG00000271880,2347
ENSG00000271882,3428
JARID2-DT,3816
ENSG00000271889,23927
ENSG00000271893,390055
ENSG00000271894,2538
ENSG00000271901,6756
ENSG00000271904,2771
ENSG00000271911,17025
TAGAP-AS1,1161351
ENSG00000271914,3295
ENSG00000271918,39124
ENSG00000271919,450
ENSG00000271926,548
PNRC1-DT,3819
ENSG00000271933,6839
ENSG00000271936,16285
ENSG00000271937,1506
ENSG00000271938,15262
ENSG00000271943,66192
ENSG00000271945,30287
ENSG00000271947,1921
ENSG00000271949,302620
LINC01954,3022
ENSG00000271955,68524
ENSG00000271958,8284
ENSG00000271959,3649
ENSG00000271963,15403
ARFGEF1-DT,22566
ENSG00000271967,4485
ENSG00000271969,408
ENSG00000271971,78449
ENSG00000271973,859
ENSG00000271976,80933
ENSG00000271978,17551
ENSG00000271980,4053
ENSG00000271981,3867
ENSG00000271983,2219
ENSG00000271984,3431
RN7SL827P,3247
ENSG00000271989,872
TTC32-DT,10203
ENSG00000271992,1634
ENSG00000271993,23053
ENSG00000271996,5526
LINC02973,10072
ENSG00000272004,47385
ENSG00000272006,1326
ENSG00000272008,34700
ENSG00000272009,150993
ENSG00000272010,24391
ENSG00000272021,497
AFF4-DT,2249
ENSG00000272024,17057
ENSG00000272027,1463
ENSG00000272030,21353
ANKRD34A,42940
ENSG00000272037,17095
ENSG00000272043,314
GTF2H5,794859
ENSG00000272049,3159
ENSG00000272056,38196
ANKH-DT,6657
BCAN-AS1,1630
ENSG00000272070,12430
ENSG00000272071,904
ENSG00000272072,71794
ENSG00000272076,37327
ENSG00000272077,34601
ENSG00000272078,16671
ENSG00000272079,564
FCHO2-DT,7833
ENSG00000272084,22174
GOLPH3-DT,25503
ENSG00000272087,761
ENSG00000272092,51069
ENSG00000272094,3306
TMEM14B-DT,31966
ENSG00000272100,5119
ENSG00000272103,167051
ENSG00000272104,99582
ENSG00000272106,48461
ENSG00000272109,45684
ENSG00000272112,52233
ENSG00000272114,544
ENSG00000272115,2052
ENSG00000272123,7320
ENSG00000272128,319
ENSG00000272129,16114
ENSG00000272130,4859
ENSG00000272137,1186
LINC01607,4834
ENSG00000272140,110394
ENSG00000272141,417
LYRM4-AS1,197268
FGF14-AS2,15906
ENSG00000272144,93883
NFYC-AS1,130190
ARF4-AS1,95319
ENSG00000272148,8182
ENSG00000272149,7030
NBPF25P,74147
ENSG00000272153,2463
ENSG00000272154,10240
ENSG00000272157,324
ENSG00000272158,864
ENSG00000272162,80227
ENSG00000272163,5832
CASC15,353724
ENSG00000272172,2314
ENSG00000272173,7497
ENSG00000272175,1530
ENSG00000272180,12489
ENSG00000272181,15913
ENSG00000272182,23783
ENSG00000272183,7332
VPS11-DT,5201
MAP7-AS1,4252
PDE7A-DT,11895
ENSG00000272195,31335
RN7SL803P,1562
POU2F1-DT,4082
ENSG00000272209,1660
ENSG00000272211,227504
ENSG00000272217,3143
ENSG00000272221,62426
ENSG00000272223,19189
ENSG00000272226,824
ENSG00000272234,32698
ENSG00000272235,904
ENSG00000272236,12446
ENSG00000272240,520
ENSG00000272243,14661
ENSG00000272247,4973
ENSG00000272248,739
ENSG00000272249,411
ENSG00000272255,1858
ENSG00000272256,36014
LINC01749,3215
ENSG00000272263,8000
ENSG00000272265,3211
ENSG00000272267,4437
NUP153-AS1,50463
IER3-AS1,9393
LINC00551,98646
ENSG00000272275,8488
ENSG00000272277,17502
ENSG00000272279,8024
TPTE2P2,382
LINC02084,60005
ILRUN-AS1,33829
ENSG00000272297,7769
ENSG00000272305,707318
ENSG00000272316,292247
ENSG00000272320,3116
ENSG00000272321,225
TTC23L-AS1,9774
DAP-DT,15263
NUDT3,5091320
KMT2B,2100104
ENSG00000272334,4978
ENSG00000272335,265433
ENSG00000272338,6395
ENSG00000272341,88162
ENSG00000272343,4295
ENSG00000272345,30538
RNU4-89P,7634
ENSG00000272360,3827
ENSG00000272361,4155
ENSG00000272362,448
ENSG00000272366,1604
ENSG00000272368,1913531
ENSG00000272369,1738174
ENSG00000272371,3321
ENSG00000272372,477
ENSG00000272374,75197
ENSG00000272375,43340
LINC02664,11858
ENSG00000272382,14894
ENSG00000272383,351
ENSG00000272384,2740
POM121C,2767123
ENSG00000272396,847
ENSG00000272397,3640
CD24,80606
ENSG00000272402,7020
ENSG00000272405,547
ENSG00000272406,1392
ENSG00000272410,518316
ENSG00000272411,873
RN7SL778P,4970
FAM47E-STBD1,6852
ENSG00000272416,13867
ENSG00000272417,2151
LINC01145,20244
ENSG00000272425,3399
ENSG00000272426,6022
LINC02637,903
ENSG00000272432,1920
ENSG00000272434,3341
ENSG00000272438,6758
ENSG00000272442,22003
ENSG00000272444,8956
ENSG00000272446,3531
ENSG00000272447,2580
ENSG00000272449,109679
MRPL20-DT,28542
ENSG00000272456,873
FAM193B-DT,6272
ENSG00000272461,19538
LINC02980,102896
ENSG00000272463,93563
ENSG00000272465,9123
ENSG00000272468,2239
ENSG00000272476,10644
ENSG00000272479,388
ENSG00000272482,1855
ENSG00000272483,4323
ENSG00000272485,693
ENSG00000272489,11371
ENSG00000272491,2366
OR1X1P,618
ENSG00000272501,281969
ENSG00000272502,31387
ENSG00000272505,22510
ENSG00000272508,14838
ENSG00000272509,8137
ENSG00000272510,13882
ENSG00000272512,6171
ENSG00000272516,9595
ENSG00000272519,2436
LINC01023,7970
BTF3-DT,7668
RN7SL840P,288
ENSG00000272540,30930
ENSG00000272541,3724
ENSG00000272542,12996
ENSG00000272545,706
LINC02538,265
ENSG00000272554,4719
ENSG00000272555,104144
GTF2IP13,11632
ENSG00000272558,265028
H3-3A-DT,573274
ENSG00000272563,13233
ENSG00000272564,8732
CPVL-AS2,152731
ENSG00000272572,22407
MUSTN1,73929
LINC02098,10732
ENSG00000272576,5734
ENSG00000272578,6267
ENSG00000272582,2684
ENSG00000272583,25498
ENSG00000272588,58995
OR10AH1P,537
ENSG00000272599,144651
ENSG00000272600,7129
EFCAB3P1,23528
ZNF595,714365
ENSG00000272604,43605
PPP4R3B-DT,69804
ENSG00000272609,256
FAM131B-AS1,205
AFAP1-AS1,15434
ENSG00000272622,31759
ENSG00000272625,111056
ENSG00000272630,100734
ENSG00000272631,7655
ENSG00000272632,4375
DOC2B,3032
ENSG00000272638,51722
ENSG00000272639,254
ENSG00000272642,1123
GTF2IP20,5100
ENSG00000272646,17655
ENSG00000272647,143484
ENSG00000272650,27136
JTB-DT,14052
ENSG00000272656,2709
ENSG00000272657,683703
ENSG00000272660,8396
TIMMDC1-DT,4689
PPP1R21-DT,3476
KLHDC7B-DT,44533
ENSG00000272667,10521
ENSG00000272668,113368
ENSG00000272669,108786
ENSG00000272672,10593
HNRNPD-DT,164859
ENSG00000272678,26186
ENSG00000272679,501
FAM223B,737
ENSG00000272682,1376
WASL-DT,63017
ENSG00000272688,62945
LINC02018,646510
ENSG00000272691,812
ENSG00000272692,3732
LINC03006,570
GAS6-DT,7856
ENSG00000272696,3615
ENSG00000272699,16332
MESTIT1,1337
ENSG00000272702,1788
ENSG00000272707,6192
HK2-DT,28537
ENSG00000272715,465
SLC30A6-DT,16410
ENSG00000272717,2541
ENSG00000272719,5417
ENSG00000272720,5816
EIF2B5-DT,11758
LINC02266,276
ENSG00000272732,11302
ENSG00000272733,34139
ADIRF-AS1,29145
ENSG00000272735,29480
ENSG00000272736,11268
ENSG00000272741,9844
ENSG00000272742,13528
ENSG00000272744,3676
ENSG00000272745,2331
ENSG00000272748,260
ENSG00000272750,147561
STAG3L5P-PVRIG2P-PILRB,177649
ENSG00000272754,121719
ENSG00000272755,15618
WDR5B-DT,1350240
ENSG00000272760,293838
ENSG00000272763,44604
ENSG00000272764,10438
JMJD1C-AS1,4611
ENSG00000272768,22329
ENSG00000272770,35682
ENSG00000272772,421814
ENSG00000272777,52129
BMS1P20,591372
ENSG00000272783,1883
ENSG00000272784,228
ENSG00000272791,13104
GAR1-DT,674
ENSG00000272798,10676
ENSG00000272799,2432
ENSG00000272800,1083665
ENSG00000272807,100540
GCAWKR,9363
ENSG00000272810,2609
ENSG00000272815,44649
ENSG00000272817,3494
ENSG00000272822,1294411
ENSG00000272823,661
ENSG00000272824,3142
ENSG00000272825,26400
ENSG00000272829,7643
ENSG00000272831,149270
ENSG00000272832,1092
ENSG00000272834,5774
ENSG00000272836,2722
ENSG00000272839,1702
ENSG00000272840,60537
MAP3K4-AS1,11348
ENSG00000272842,13068
ENSG00000272843,3744
ENSG00000272844,9208
ENSG00000272849,42872
ENSG00000272851,6485
SUV39H2-DT,61818
ENSG00000272854,791
ENSG00000272855,202
ENSG00000272856,360
ENSG00000272858,62312
ENSG00000272861,1917
ENSG00000272862,1753
ENSG00000272864,7917
ENSG00000272865,11020
ENSG00000272866,5704
SAP30-DT,60062
ENSG00000272871,17784
ENSG00000272872,429
ENSG00000272874,958
ENSG00000272885,3540
DCP1A,3866254
CSPG4P5,259
CHASERR,2128844
ENSG00000272892,14847
MIOS-DT,67172
ENSG00000272895,524
ENSG00000272896,160095
ENSG00000272897,6671
ATP6V1FNB,67203
TBC1D8-AS1,12624
ENSG00000272905,1422
ENSG00000272906,44781
ENSG00000272908,239545
ENSG00000272909,66758
ENSG00000272910,5701
ENSG00000272911,10996
ENSG00000272912,631
ENSG00000272913,7033
ENSG00000272915,336
ENSG00000272916,579590
ENSG00000272917,941276
ENSG00000272918,84258
ENSG00000272921,53504
ENSG00000272927,30445
LRRC8D-DT,13746
TRIM8-DT,112928
ENSG00000272936,29042
ENSG00000272940,1914
ENSG00000272941,295247
ENSG00000272944,1241
ENSG00000272948,2918
ENSG00000272950,1044
ENSG00000272953,18597
ENSG00000272954,5499
OR7A19P,33342
ENSG00000272966,7606
ENSG00000272967,20893
RBAK-RBAKDN,2698242
ENSG00000272969,1539
ENSG00000272970,24670
ENSG00000272973,3424
MYHAS,6035
ENSG00000272977,147348
ENSG00000272979,10347
ENSG00000272980,223400
ENSG00000272982,40348
ENSG00000272984,1221
ENSG00000272986,3436
ENSG00000272988,1657
LINC02012,7955
ENSG00000272990,27658
ENSG00000272991,14224
C2orf49-DT,213980
ENSG00000272995,2319
PFKP-DT,1453
ARHGEF2-AS2,102095
ARL2-SNX15,47134
ENSG00000273004,24081
ENSG00000273006,450
ENSG00000273007,31353
CSGALNACT2-DT,11957
ENSG00000273010,15148
ENSG00000273011,254
ENSG00000273013,550
ENSG00000273014,3200
LINC00938,793888
FAM106A,636090
INTS4P2,17037
ENSG00000273025,78058
ENSG00000273026,18245
DGCR5,17676
LINC02035,215340
ATF4P2,214
C2orf15,16339
ENSG00000273047,4554
ENSG00000273055,8728
ENSG00000273056,2658
ENSG00000273058,11903
ENSG00000273059,6084
CDC37L1-DT,76172
RALGPS2-AS1,4981
ENSG00000273064,110402
ENSG00000273066,423
ENSG00000273068,907
ENSG00000273073,4953
ENSG00000273076,107679
ENSG00000273077,1610
GRIN2B,26389
ENSG00000273080,32939
LARGE1-AS1,670
ENSG00000273084,16451
ENSG00000273088,52636
ENSG00000273090,20458
ENSG00000273091,3136
ENSG00000273102,2090
PPM1B-DT,4047
ENSG00000273107,416
ENSG00000273108,19987
ENSG00000273110,2959
LYPD4,293
ENSG00000273112,465154
ENSG00000273113,366
INSIG1-DT,48681
ENSG00000273118,1306035
ENSG00000273124,2015
LINC01990,6380
PACERR,4948
ENSG00000273132,244
ENSG00000273133,22326
NBPF26,1124504
SELENOO-AS1,11562
ENSG00000273139,22174
ENSG00000273141,3720
LINC02604,17054
DUSP5-DT,261549
ENSG00000273145,8399
LCDR,107271
ENSG00000273149,100341
ENSG00000273151,119921
ENSG00000273154,81118
ENSG00000273155,1961
ENSG00000273156,272227
ENSG00000273162,2812
ENSG00000273165,7900
ENSG00000273167,25100
ENSG00000273171,5231
LINC02091,1339
ENSG00000273174,10147
ENSG00000273175,14805
ENSG00000273176,625
ENSG00000273179,6739
ENSG00000273181,1916
ENSG00000273183,58859
ENSG00000273184,108185
ENSG00000273188,5378
ENSG00000273189,55429
ENSG00000273192,24264
ENSG00000273196,280
ENSG00000273198,1931
ENSG00000273199,14420
ENSG00000273203,16044
ENSG00000273204,1980
ENSG00000273209,228
ENSG00000273210,1300
ENSG00000273211,10593
ENSG00000273212,2490
H3-7,35167
ENSG00000273214,689
ENSG00000273217,226972
ENSG00000273218,7155
ENSG00000273219,28943
ENSG00000273221,610661
FAM25BP,1750
ENSG00000273226,14276
ENSG00000273230,31897
ENSG00000273232,747
ENSG00000273233,1274
ENSG00000273240,10559
ENSG00000273243,22539
ENSG00000273244,288
ENSG00000273245,79099
RAB33B-AS1,2356017
ENSG00000273248,3046
WDR5-DT,32606
TRABD-AS1,55591
ENSG00000273254,5942
LINC02928,778
ENSG00000273258,15653
ENSG00000273259,2366
ENSG00000273261,10970
ENSG00000273262,4857
CNNM3-DT,28761
ENSG00000273269,309187
ENSG00000273270,297129
ENSG00000273271,8858
ENSG00000273272,190276
ZBTB8B,1212
